0,q1_22-10_50GB_pyarr,q2_22-10_50GB_pyarr,q3_22-10_50GB_pyarr_p2p,q7_22-10_50GB_pyarr_p2p,q9_22-10_50GB_pyarr
0 days 00:00:19.500217344,2585104384.0,3222925312.0,11770105856.0,11553624064.0,3982368768.0
0 days 00:00:19.500494848,2585104384.0,3222925312.0,11770105856.0,11553624064.0,4404682752.0
0 days 00:00:19.500669952,2585104384.0,3222925312.0,11770105856.0,12137263104.0,4404682752.0
0 days 00:00:19.500936960,2585104384.0,3222925312.0,11742846976.0,12137263104.0,4404682752.0
0 days 00:00:19.501283072,3069898752.0,3222925312.0,11742846976.0,12137263104.0,4404682752.0
0 days 00:00:20.000079360,3069898752.0,3790950400.0,11742846976.0,12137263104.0,4404682752.0
0 days 00:00:20.000292096,3069898752.0,3790950400.0,11742846976.0,12137263104.0,4954259456.0
0 days 00:00:20.000592128,3069898752.0,3790950400.0,11742846976.0,12565467136.0,4954259456.0
0 days 00:00:20.000791552,3069898752.0,3790950400.0,11659964416.0,12565467136.0,4954259456.0
0 days 00:00:20.001152,2823593984.0,3790950400.0,11659964416.0,12565467136.0,4954259456.0
0 days 00:00:20.500293120,2823593984.0,3965886464.0,11659964416.0,12565467136.0,4954259456.0
0 days 00:00:20.500964864,2823593984.0,3965886464.0,11659964416.0,12565467136.0,5004566528.0
0 days 00:00:20.501019136,2770612224.0,3965886464.0,11659964416.0,12565467136.0,5004566528.0
0 days 00:00:20.501019904,2770612224.0,3965886464.0,12219117568.0,12565467136.0,5004566528.0
0 days 00:00:20.501084160,2770612224.0,3965886464.0,12219117568.0,12850450432.0,5004566528.0
0 days 00:00:21.000293888,2873184256.0,3965886464.0,12219117568.0,12850450432.0,5004566528.0
0 days 00:00:21.000567808,2873184256.0,3965886464.0,12219117568.0,12850450432.0,4977033216.0
0 days 00:00:21.000734720,2873184256.0,3965886464.0,12491419648.0,12850450432.0,4977033216.0
0 days 00:00:21.000912128,2873184256.0,3965886464.0,12491419648.0,13022027776.0,4977033216.0
0 days 00:00:21.001022208,2873184256.0,3606990848.0,12491419648.0,13022027776.0,4977033216.0
0 days 00:00:21.500610304,2873184256.0,3606990848.0,12491419648.0,14250205184.0,4977033216.0
0 days 00:00:21.500704768,2873184256.0,3606990848.0,12683337728.0,14250205184.0,4977033216.0
0 days 00:00:21.500736,2796109824.0,3606990848.0,12683337728.0,14250205184.0,4977033216.0
